tx_hash,block_number,timestamp,event_type,sender,receiver,owner,assets,shares,vault_address,log_index,datetime
0x04a4e560d6778ca977ff488b350fbfed45981a2aed7ce82a4768a8369674cc2f,19877898,1715806451,withdraw,0x2fd55b9133b3343d52a2d38e30a43db9126b1eb4,0x2fd55b9133b3343d52a2d38e30a43db9126b1eb4,0x2fd55b9133b3343d52a2d38e30a43db9126b1eb4,14359.835199,14259.2,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,227,2024-05-15 20:54:11
0x6e3f0ffe03283808edae06cddffcdd34c4b9fa70e4506bce8d1ba4eec90fbca0,19884750,1715889227,withdraw,0x88954361e813cc62537c8d2aa0e38f69b7ecdc6f,0x88954361e813cc62537c8d2aa0e38f69b7ecdc6f,0x88954361e813cc62537c8d2aa0e38f69b7ecdc6f,320.483105,318.2,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,274,2024-05-16 19:53:47
0x9aa565779a42519765ba4d9e0e6054f5a6538fe75f1ec02baa28b0ccace9656a,19887371,1715920811,withdraw,0x7a1f5c89860caf7d585970af39d844905bd6ca86,0x7a1f5c89860caf7d585970af39d844905bd6ca86,0x7a1f5c89860caf7d585970af39d844905bd6ca86,2402.73007,2385.506793,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,104,2024-05-17 04:40:11
0xebddf64d567e7f941a82796767fa8abcc880fc00b12e9fb8e46b09b7b27a2336,19887379,1715920907,withdraw,0x7a1f5c89860caf7d585970af39d844905bd6ca86,0x7a1f5c89860caf7d585970af39d844905bd6ca86,0x7a1f5c89860caf7d585970af39d844905bd6ca86,24.027304,23.855068,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,661,2024-05-17 04:41:47
0xe4fb6196fbcc825abf2a8149b84b1cbe9e46cf4a308396eae20b944a7518c668,19891363,1715969123,withdraw,0x77a879f392cc765064c12707d2f79b63025b7590,0x77a879f392cc765064c12707d2f79b63025b7590,0x77a879f392cc765064c12707d2f79b63025b7590,241.248941,239.500534,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,163,2024-05-17 18:05:23
0x797b8d9330f21ab792649fc3c2a3da0980c77835edad6205dc61337a0f0416d5,19891355,1715969015,withdraw,0x77a879f392cc765064c12707d2f79b63025b7590,0x77a879f392cc765064c12707d2f79b63025b7590,0x77a879f392cc765064c12707d2f79b63025b7590,24124.889428,23950.053429,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,400,2024-05-17 18:03:35
0x7a763b60307574bf259cf20daf884fe304a4efa0048326613a920b0b0ec733f1,19891392,1715969495,withdraw,0x07a808f777c529a8a647e691088e8444e10deaa5,0x07a808f777c529a8a647e691088e8444e10deaa5,0x07a808f777c529a8a647e691088e8444e10deaa5,27423.450043,27224.685154,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,460,2024-05-17 18:11:35
0xf458200775c6a3e22b584bdd2fa5b3f49261311cd180a9e6018fedab13d09fdc,19891397,1715969555,withdraw,0x07a808f777c529a8a647e691088e8444e10deaa5,0x07a808f777c529a8a647e691088e8444e10deaa5,0x07a808f777c529a8a647e691088e8444e10deaa5,274.23453,272.246851,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,188,2024-05-17 18:12:35
0x574eeee201aa8b36c69d99ca25ee0ebe90fe1327ef88886f69dda0e9245ee56e,19890958,1715964215,withdraw,0x737051bd823887d5128a724688bc5108e91d11be,0x737051bd823887d5128a724688bc5108e91d11be,0x737051bd823887d5128a724688bc5108e91d11be,202282.55086,200818.32,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,242,2024-05-17 16:43:35
0x2b9f192ebc52c8a36cf9a50fb183b0a817703a2828e9b43c2637452b3152542c,19831911,1715250755,withdraw,0x8bd72f76c09ecb3736dce927bc3aac2249e22472,0x8bd72f76c09ecb3736dce927bc3aac2249e22472,0x8bd72f76c09ecb3736dce927bc3aac2249e22472,0.997404,0.991208,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,123,2024-05-09 10:32:35
