datetime,Deleveraged_Cian_Assets,Net_Vault_Deposits
2024-08-06,,507.28253928055506
2024-08-07,,515.6573890966072
2024-08-08,,1053.715655712712
2024-08-09,,3893.2684884968594
2024-08-10,,3773.1669033504727
2024-08-11,,3781.6518282616094
2024-08-12,,4413.91425201052
2024-08-13,,4703.692030252085
2024-08-14,,12817.746899032521
2024-08-15,,12624.452330421216
2024-08-16,,14625.27913110935
2024-08-17,,14752.693996546332
2024-08-18,,14871.582090334869
2024-08-19,,16344.07927420467
2024-08-20,,16506.5394433018
2024-08-21,,16100.550704951173
2024-08-22,,-24052.875287789997
2024-08-23,,-32007.25835589099
2024-08-24,,-31946.530001111772
2024-08-25,,-31999.541843612104
2024-08-26,,-30804.023519068418
2024-08-27,,-33329.73792944239
2024-08-28,,389669.6546391315
2024-08-29,,400730.39797620574
2024-08-30,,400684.62828187976
2024-08-31,,400835.5705068824
2024-09-01,,398563.8078609926
2024-09-02,,385347.2857665871
2024-09-03,258452.73047259904,401979.64784719446
2024-09-04,248485.59708592872,379389.0065655229
2024-09-05,249623.51512875172,381126.3853145629
2024-09-06,241412.0761986641,368589.1208022777
2024-09-07,226731.2444509919,368745.72752165445
2024-09-08,231718.68818996326,409860.8327680056
2024-09-09,234135.6603555937,5006941.844087792
2024-09-10,4765419.842626987,5144658.327992369
2024-09-11,4825823.0502088,5209868.50362968
2024-09-12,4731890.473018535,5108460.646301146
2024-09-13,4770942.428256943,5150620.408373841
2024-09-14,4948299.570400992,5418167.138843728
2024-09-15,4893650.813242055,5901188.779727719
2024-09-16,4700502.972926061,5668274.354158751
2024-09-17,4644832.0260348655,10191411.173057372
2024-09-18,7064542.865192841,10395147.992921729
2024-09-19,7127516.4449296165,10379050.072153427
2024-09-20,7444114.77713481,10832861.059618037
2024-09-21,7723090.221678656,11238833.068415012
2024-09-22,7895142.355506537,11489207.614827583
2024-09-23,7799263.072117729,11352264.5435079
2024-09-24,8011769.3283669455,11689699.439618077
2024-09-25,8026703.1548199905,11718183.627045916
2024-09-26,7799020.605640939,11388033.234988024
2024-09-27,7957457.412387069,11619704.303519165
2024-09-28,8160837.642496639,11916888.230379842
2024-09-29,8106473.896816099,11837503.403792163
2024-09-30,8040938.238847421,11746487.980995871
2024-10-01,7852673.990363927,11471464.88463895
2024-10-02,7412142.636295232,10827921.046580384
2024-10-03,7150923.650857182,10446323.081055429
2024-10-04,7098842.791682214,10379328.292155374
2024-10-05,7307192.698900729,10804336.606845658
2024-10-06,7302613.556222354,10798242.248753378
2024-10-07,7371023.218197152,10899398.375456778
2024-10-08,7324825.594707794,10833557.992949465
2024-10-09,7381406.182791381,11368778.619917851
2024-10-10,7158131.490620992,11046272.414531304
2024-10-11,7200962.131334768,11364955.675464962
2024-10-12,7364017.726393054,12025895.908260096
2024-10-13,7490693.845542768,12708224.94705014
2024-10-14,7458185.865926762,12653074.018971544
2024-10-15,7946891.356506474,14201832.169201672
2024-10-16,7866989.230603197,14059039.65686769
2024-10-17,7889837.783004986,12693927.810634898
2024-10-18,7863918.361362807,13172850.217398923
2024-10-19,7984866.146429509,13375449.860935114
2024-10-20,8005477.44717219,13417132.144568676
2024-10-21,8286365.719692096,13887899.203139357
2024-10-22,8053065.547181548,13493683.482874721
2024-10-23,7913598.086399952,13263608.203144876
2024-10-24,7625212.987684886,12780259.551972475
2024-10-25,7661857.773142466,12841678.147116061
2024-10-26,7317043.298455159,12568330.75780675
2024-10-27,9973355.8762358,14849307.224391099
2024-10-28,10078461.95832519,15005799.43458249
2024-10-29,10317041.895383682,20720559.02125916
2024-10-30,10613999.15615363,21322942.093251266
2024-10-31,10690334.03543246,25464044.758377682
2024-11-01,10115661.676957758,24166701.54628793
2024-11-02,26702523.208430458,36727109.26430662
2024-11-03,26463681.22142293,36398601.89122961
2024-11-04,26098569.49041545,35896420.94249596
2024-11-05,25450269.361103617,35104049.81657676
2024-11-06,25773197.954093073,40777750.683171265
2024-11-07,40232129.49508581,45253864.03129929
2024-11-08,42810391.96586853,48193429.889905825
2024-11-09,43786204.27187699,58678538.147020735
2024-11-10,46286476.52319833,62358000.099310264
2024-11-11,47201384.62003556,63590581.26510373
2024-11-12,49876313.782874614,67200366.4959872
2024-11-13,64395890.159066185,64971696.813959114
2024-11-14,63032605.05686565,63596221.66931295
2024-11-15,60424195.414246544,60952539.1267394
2024-11-16,61097606.05770617,61631838.0121021
2024-11-17,61886865.15658462,62432307.406631745
2024-11-18,60734673.09987865,61269960.4612219
2024-11-19,63378677.68498057,63937268.0817318
2024-11-20,61472747.95647529,62014540.36876056
2024-11-21,60727945.54004273,61171452.563516945
2024-11-22,64485829.903903954,66965251.01507518
2024-11-23,63754368.02987685,66205665.101779565
2024-11-24,65024179.61335304,67524299.77789444
2024-11-25,64202690.283580944,67020276.36157294
2024-11-26,65128717.357345,67986942.86928217
2024-11-27,63179577.8929296,66163474.56063826
2024-11-28,69435016.89104186,72938932.49162805
2024-11-29,67788288.87232864,71209105.24930917
2024-11-30,68147236.47956385,71586166.5141353
2024-12-01,70263060.73474558,73808762.10671677
2024-12-02,70023928.503379,73791234.5376761
2024-12-03,68797608.4709564,72498938.16035445
2024-12-04,68232529.25274622,72138648.07692955
2024-12-05,72446566.35207361,76391629.81197123
2024-12-06,71208959.70164151,75699136.1384409
2024-12-07,75276042.79738638,80070320.28740452
2024-12-08,75037219.74873666,79818287.26511785
2024-12-09,33992216.33455153,80154665.13568796
2024-12-10,31431927.497913584,74118343.4182171
