datetime,USD,ETH
2024-08-06,507.28253928055506,0.21000000000000002
2024-08-07,515.6573890966072,0.21000000000000002
2024-08-08,1053.715655712712,0.45
2024-08-09,3893.2684884968594,1.45
2024-08-10,3773.1669033504727,1.45
2024-08-11,3781.6518282616094,1.45
2024-08-12,4413.91425201052,1.725
2024-08-13,4703.692030252085,1.725
2024-08-14,12817.746899032521,4.7410790441780755
2024-08-15,12624.452330421216,4.7410790441780755
2024-08-16,14625.27913110935,5.691079044178076
2024-08-17,14752.693996546332,5.691079044178076
2024-08-18,14871.582090334869,5.691079044178076
2024-08-19,16344.07927420467,6.251079044178075
2024-08-20,16506.5394433018,6.251079044178075
2024-08-21,16100.550704951173,6.251079044178075
2024-08-22,-24052.875287789997,-9.144541020076028
2024-08-23,-32007.25835589099,-12.20119333593787
2024-08-24,-31946.530001111772,-11.561193335937869
2024-08-25,-31999.541843612104,-11.561193335937869
2024-08-26,-30804.023519068418,-11.221193335937869
2024-08-27,-33329.73792944239,-12.422192590157453
2024-08-28,389669.6546391315,158.57780740984253
2024-08-29,400730.39797620574,158.57780740984253
2024-08-30,400684.62828187976,158.57780740984253
2024-08-31,400835.5705068824,158.57780740984253
2024-09-01,398563.8078609926,158.57780740984253
2024-09-02,385347.2857665871,158.57780740984253
2024-09-03,401979.64784719446,158.57780740984253
2024-09-04,379389.0065655229,155.66930608582453
2024-09-05,381126.3853145629,155.66930608582453
2024-09-06,368589.1208022777,155.66930608582453
2024-09-07,368745.72752165445,165.81930608582454
2024-09-08,409860.8327680056,180.34114594758836
2024-09-09,5006941.844087792,2180.3411459475883
2024-09-10,5144658.327992369,2180.3411459475883
2024-09-11,5209868.50362968,2180.3411459475883
2024-09-12,5108460.646301146,2180.3411459475883
2024-09-13,5150620.408373841,2180.3411459475883
2024-09-14,5418167.138843728,2215.941145947588
2024-09-15,5901188.779727719,2440.441145947588
2024-09-16,5668274.354158751,2440.441145947588
2024-09-17,10191411.173057372,4440.441145947589
2024-09-18,10395147.992921729,4440.29801388637
2024-09-19,10379050.072153427,4394.2512627706
2024-09-20,10832861.059618037,4394.2512627706
2024-09-21,11238833.068415012,4394.2512627706
2024-09-22,11489207.614827583,4394.2512627706
2024-09-23,11352264.5435079,4395.2512627706
