datetime,Exchange_Rate_USDC_per_Share,Assets,Shares
2024-05-05 07:26:11,1.005676156910743,1000.0,994.35588
2024-05-05 08:15:59,1.0056821004684413,50000.0,49717.500169
2024-05-05 18:40:23,1.0057546704876117,28749.81938,28585.320281
2024-05-05 19:14:47,1.005758609208834,10000.0,9942.743625
2024-05-06 04:42:47,1.0058233132861343,294.0,292.297858
2024-05-06 16:50:35,1.0059062151475224,10001.467607,9942.743624
2024-05-07 17:30:11,1.0060326896567293,550.0,546.701917
2024-05-07 18:07:59,1.0060360367061947,100.214647,99.613377
2024-05-09 09:05:35,1.006243742421727,0.2,0.198759
2024-05-09 09:55:47,1.0062477490086996,221.249076,219.87535
2024-05-09 10:30:47,1.0062508564227253,102.631574,101.994024
2024-05-09 10:32:35,1.0062509584264856,0.997404,0.991208
2024-05-09 10:35:23,1.0062512636280572,118.114043,117.380268
2024-05-09 10:39:11,1.006251842698687,1.0,0.993787
2024-05-09 10:39:59,1.0062511062688066,1.006234,0.999983
2024-05-09 10:47:11,1.0062528552424768,1.0,0.993786
2024-05-09 10:47:47,1.0062523610487248,117.993014,117.259863
2024-05-09 13:19:47,1.0062658334859742,7000.0,6956.412279
2024-05-10 03:18:47,1.0063399539880318,16644.421576,16539.561517
2024-05-10 15:31:59,1.0064041842133555,8000.0,7949.092547
2024-05-10 18:58:23,1.0064310946951016,0.1,0.099361
2024-05-10 19:07:59,1.0064240044202142,1.0,0.993617
2024-05-10 20:40:47,1.0064412238325282,0.01,0.009936
2024-05-10 21:49:47,1.0070493454179255,0.001,0.000993
2024-05-10 21:51:35,1.0070493454179255,0.001,0.000993
2024-05-10 21:53:11,1.0070493454179255,0.001,0.000993
2024-05-10 21:56:47,1.0070493454179255,0.001,0.000993
2024-05-11 17:12:11,1.0065425264217414,0.01,0.009935
2024-05-11 17:12:59,1.006529411764706,0.017111,0.017
2024-05-11 18:34:11,1.00664384940608,0.01,0.009934
2024-05-12 16:00:11,1.0066579896245251,2081.325184,2067.559395
2024-05-12 18:53:23,1.0066731256929153,10553.942681,10483.981753
2024-05-12 19:23:35,1.0066757507653707,8610.076691,8552.979134
2024-05-14 04:01:23,1.0068458807585712,1.5,1.489801
2024-05-15 09:04:47,1.0069961664094673,1258.26,1249.518163
2024-05-15 18:20:35,1.0070442747015373,100.0,99.3005
2024-05-15 20:54:11,1.0070575627664946,14359.835199,14259.2
2024-05-16 19:53:47,1.0071750628535514,320.483105,318.2
2024-05-16 21:03:59,1.007181016027672,202260.403001,200818.323402
2024-05-16 23:21:11,1.0071916190132086,11.596482,11.51368
2024-05-17 00:24:59,1.0071964837695022,34.253435,34.008692
2024-05-17 04:40:11,1.0072199656066962,2402.73007,2385.506793
2024-05-17 04:41:47,1.0072201009865074,24.027304,23.855068
2024-05-17 16:43:35,1.0072913211304626,202282.55086,200818.32
2024-05-17 18:03:35,1.0073000254265947,24124.889428,23950.053429
2024-05-17 18:05:23,1.007300221718921,241.248941,239.500534
2024-05-17 18:11:35,1.0073009068011498,27423.450043,27224.685154
2024-05-17 18:12:35,1.0073010174137882,274.23453,272.246851
2024-05-20 07:31:11,1.007712347583287,800.0,793.877342
2024-05-20 09:59:35,1.0077289409781134,33185.430441,32930.909386
2024-05-20 10:23:35,1.007759750075582,0.01,0.009923
2024-05-20 22:00:47,1.0078082209486494,200.0,198.450455
2024-05-21 01:23:47,1.0078305318687029,49996.0,49607.546526
2024-05-21 20:54:59,1.0079560682347617,100000.413527,99211.083378
2024-05-21 22:59:59,1.0079688292009934,5000.0,4960.470855
2024-05-22 06:34:35,1.0080151315812031,115.829287,114.908282
2024-05-23 06:31:47,1.008161531581585,528.0,523.725597
2024-05-23 10:21:35,1.0081849332325523,200.0743,198.45
2024-05-23 10:31:11,1.0081859166019338,500.0743,496.013971
2024-05-23 22:45:47,1.0082607335007765,522.771434,518.48834
2024-05-24 01:44:35,1.0082789526200822,49518.062601,49111.471059
2024-05-24 09:06:47,1.008325096782245,70000.0,69422.054676
2024-05-25 02:19:59,1.0084293805173945,50.0,49.582054
2024-05-26 17:14:23,1.0086650452986239,5783.0,5733.320518
2024-05-26 17:15:59,1.0086652063566859,5000.0,4957.046172
2024-05-26 19:18:35,1.00867710249043,50000.0,49569.877096
2024-05-26 21:53:47,1.0086891743583413,50000.5984,49569.877095
2024-05-29 03:20:35,1.0089860143569713,70045.882255,69422.054675
2024-05-29 07:31:47,1.0090111188848836,500.545661,496.075466
2024-05-30 15:14:47,1.0092013881057853,1441.084719,1427.945637
2024-05-31 01:32:23,1.009263197393188,11166.52245,11064.034118
2024-05-31 20:13:23,1.0093747935548842,100.230917,99.3
2024-05-31 23:35:47,1.0093949554752586,11288.510407,11183.442463
2024-06-01 09:35:47,1.0094543899022579,101.0,100.05405
2024-06-01 09:42:11,1.009455009567329,101.000062,100.05405
2024-06-01 20:44:35,1.0095206314010348,43064.827076,42658.689418
2024-06-01 20:54:23,1.0095216212121212,533.027416,528.0
2024-06-01 21:24:11,1.0095246379000544,4106.55322,4067.808814
2024-06-01 21:25:35,1.0095247783658834,768.642071,761.39
2024-06-02 18:46:47,1.0096542135159638,5095.0,5046.282115
2024-06-04 21:06:35,1.0099586648221877,1255.0,1242.625113
2024-06-06 01:16:23,1.0101441221293312,83830.346741,82988.501249
2024-06-07 11:55:23,1.010498600141626,184153.797945,182240.527517
2024-06-07 15:29:11,1.0105326002044894,20000.0,19791.543584
2024-06-07 21:38:35,1.0105934680168018,3692.0,3653.298895
2024-06-10 23:24:59,1.011322250406566,50000.0,49440.225388
2024-06-11 09:30:35,1.0114199624464275,3500.0,3460.481432
2024-06-11 16:44:47,1.0114899291311052,1899.556615,1877.978772
2024-06-11 18:23:11,1.011505773994088,1000.0,988.625103
2024-06-11 19:02:35,1.0115121151354298,1000.006268,988.625102
2024-06-11 22:49:47,1.0115487033202035,15000.0,14828.747198
2024-06-11 23:32:23,1.0115555216985674,1000.0,988.576483
2024-06-12 02:48:59,1.0115869742881485,105806.119298,104594.189118
2024-06-12 05:15:11,1.0116093872518277,376.732153,372.408716
2024-06-12 12:11:59,1.0116732766888477,11899.034634,11761.736628
2024-06-12 14:17:59,1.0116925020340468,105817.156886,104594.189117
2024-06-12 22:37:47,1.0117720853954424,3010.729463,2975.699277
2024-06-13 01:09:59,1.011796292480931,50023.436747,49440.225388
2024-06-13 14:48:59,1.0119293040816928,59574.282658,58871.980896
2024-06-13 20:07:47,1.011979828339663,1000.0,988.161989
2024-06-14 04:10:23,1.0120562900749464,10000.0,9880.873325
2024-06-14 04:19:59,1.0120578049220217,10000.014967,9880.873324
2024-06-14 06:58:35,1.0120829357481465,9475.831036,9362.702108
2024-06-14 12:35:35,1.0121457489878543,0.001,0.000988
2024-06-14 18:03:23,1.0121878830728723,9000.0,8891.629855
2024-06-14 20:08:59,1.0122076406818208,102613.037856,101375.482393
2024-06-15 01:45:23,1.0122584498274099,200.0,197.578
2024-06-15 08:22:23,1.0123184109054444,8934.70523,8825.983143
2024-06-15 09:47:11,1.012331199894512,11.116745,10.981332
2024-06-15 17:19:59,1.0123993387978747,30000.0,29632.575655
2024-06-15 17:22:35,1.0123997257035737,30000.011464,29632.575654
2024-06-16 08:19:47,1.012481792286809,1800.0,1777.809748
2024-06-16 08:23:23,1.0124821837318234,5355.85409,5289.825516
2024-06-16 08:23:23,1.012484169789852,0.314998,0.311114
2024-06-17 03:41:47,1.0126079458868595,110.123434,108.752291
2024-06-17 04:08:23,1.0126108288788358,1388.986071,1371.687949
2024-06-17 08:24:23,1.012638613996058,100.61724,99.361449
2024-06-17 08:24:23,1.0126388703328777,0.492664,0.486515
