datetime,USDC
2024-05-05,89749.81938
2024-05-06,80042.351773
2024-05-07,80492.137126
2024-05-08,80492.137126
2024-05-09,88054.324833
2024-05-10,112699.86040900002
2024-05-11,112699.88040900002
2024-05-12,129782.57459700003
2024-05-13,129782.57459700003
2024-05-14,129784.07459700003
2024-05-15,116782.49939800003
2024-05-16,318734.01577600004
2024-05-17,61995.13803500004
2024-05-18,61995.13803500004
2024-05-19,61995.13803500004
2024-05-20,96180.57847600004
2024-05-21,251176.99200300005
2024-05-22,251292.82129000005
2024-05-23,251598.04985600006
2024-05-24,272079.98725500004
2024-05-25,272129.98725500004
2024-05-26,282912.388855
2024-05-27,282912.388855
2024-05-28,282912.388855
2024-05-29,212365.960939
2024-05-30,210924.87622
2024-05-31,233279.67816
2024-06-01,193019.734755
2024-06-02,198114.734755
2024-06-03,198114.734755
2024-06-04,199369.734755
2024-06-05,199369.734755
2024-06-06,283200.081496
2024-06-07,491045.879441
2024-06-08,491045.879441
2024-06-09,491045.879441
2024-06-10,541045.879441
2024-06-11,562445.4297880001
2024-06-12,577720.8884500001
2024-06-13,588271.7343610001
2024-06-14,709360.5892860001
2024-06-15,718506.3997970001
2024-06-16,725662.5688850001
2024-06-17,728263.0223660001
2024-06-18,855636.1088990001
2024-06-19,827047.3272010001
2024-06-20,910283.8880100001
2024-06-21,910283.8880100001
2024-06-22,961954.8492080001
2024-06-23,962068.5107260001
2024-06-24,827364.0365590001
2024-06-25,732500.6080050002
2024-06-26,718769.7602220002
2024-06-27,820523.2346470002
2024-06-28,947271.6503250002
2024-06-29,947296.8530880002
2024-06-30,945800.9490470003
2024-07-01,936298.6625270003
2024-07-02,876006.3468030003
2024-07-03,578461.5248380003
2024-07-04,577457.4959370003
2024-07-05,551724.0730490002
2024-07-06,536912.4945090002
2024-07-07,480176.26525900024
2024-07-08,480176.26525900024
2024-07-09,480678.89165000024
2024-07-10,481678.89165000024
2024-07-11,481678.89159800025
2024-07-12,481678.89159800025
2024-07-13,481587.83242500026
2024-07-14,485659.4168120003
2024-07-15,485759.4168120003
2024-07-16,590493.6830140003
2024-07-17,630940.3350460003
2024-07-18,631240.3350460003
2024-07-19,700078.4884440002
2024-07-20,589552.8147990003
2024-07-21,676197.4044380003
2024-07-22,717192.9566380003
2024-07-23,624919.8233890003
2024-07-24,642097.9619440002
2024-07-25,642097.9619440002
2024-07-26,642215.4458460002
2024-07-27,658111.5980570002
2024-07-28,668009.6516050003
2024-07-29,1064936.1405390003
2024-07-30,1064936.4820700004
2024-07-31,1064630.8123550003
2024-08-01,1071676.4838770004
2024-08-02,1012190.6125920004
2024-08-03,978592.1006630004
2024-08-04,995161.6533070004
2024-08-05,922648.2083880004
2024-08-06,882576.0509970004
2024-08-07,1025838.5817060004
2024-08-08,924350.9794400004
2024-08-09,928803.6935550004
2024-08-10,928603.6935070003
2024-08-11,928603.9093190003
2024-08-12,928603.9093190003
2024-08-13,1037456.5512820003
2024-08-14,804554.6456210003
2024-08-15,804561.0164080004
2024-08-16,805425.0722870004
2024-08-17,802343.0264320003
2024-08-18,802343.3034480003
2024-08-19,798068.6394130003
2024-08-20,855814.4359150003
2024-08-21,959513.8817550002
2024-08-22,966414.5819160002
2024-08-23,977294.9262200003
2024-08-24,981505.9375460002
2024-08-25,981505.9375460002
2024-08-26,991357.8214560002
2024-08-27,991378.2551780002
2024-08-28,980176.9114950002
2024-08-29,1087492.1417890002
2024-08-30,917576.2806090002
2024-08-31,907347.7700000003
2024-09-01,918410.1326230003
2024-09-02,937539.1720850003
2024-09-03,877393.9668080003
2024-09-04,828523.4296080003
2024-09-05,829237.0132450003
2024-09-06,766858.4066690003
2024-09-07,757615.5848240003
2024-09-08,749472.8802880002
2024-09-09,749472.8802880002
2024-09-10,849352.5074600002
2024-09-11,847216.5464260002
2024-09-12,843207.7103960002
2024-09-13,1849132.120261
2024-09-14,1849132.120261
2024-09-15,1849136.560261
2024-09-16,1849136.560261
2024-09-17,1847224.7863049998
2024-09-18,1839333.4335259998
2024-09-19,1839333.4335259998
2024-09-20,1839333.4335259998
2024-09-21,1834757.4179719999
2024-09-22,1834757.4179719999
2024-09-23,1836768.3455229998
2024-09-24,1832295.2100859997
2024-09-25,1832295.2100859997
2024-09-26,1832295.2100859997
2024-09-27,1831782.5626429997
2024-09-28,1900611.0963559996
2024-09-29,1900611.0963559996
2024-09-30,1900611.0963559996
2024-10-01,1851944.6542849997
2024-10-02,1867129.9152729998
2024-10-03,1978735.3547339998
2024-10-04,1980516.8320649997
2024-10-05,1980516.8320649997
2024-10-06,1980516.8320649997
2024-10-07,2000380.7004059998
2024-10-08,2000380.7004059998
2024-10-09,2775668.4435989996
2024-10-10,2775668.4435989996
2024-10-11,2756412.7055639997
2024-10-12,2753950.6171649997
2024-10-13,2753950.6171649997
2024-10-14,2856520.95442
2024-10-15,2856520.95442
2024-10-16,2855191.8052359996
2024-10-17,2855199.6919549997
2024-10-18,2855199.6919549997
2024-10-19,2868116.1770929997
2024-10-20,2868042.6121549997
2024-10-21,2872626.498766
2024-10-22,2846965.0304799997
2024-10-23,2872180.1686159996
2024-10-24,2872180.1686159996
2024-10-25,2872190.4162149997
2024-10-26,2887706.789732
2024-10-27,2907715.95064
2024-10-28,2907715.95064
2024-10-29,2944365.3328879997
2024-10-30,2944365.3328879997
2024-10-31,3053984.3982959995
2024-11-01,3053986.6325349994
2024-11-02,3054774.5741699995
2024-11-03,3062124.5741699995
2024-11-04,3043245.5765699996
2024-11-05,3037374.0970929996
2024-11-06,3037374.0970929996
2024-11-07,3049602.8860199996
2024-11-08,3046879.2700179997
2024-11-09,3046881.9072109996
2024-11-10,2966490.555659
2024-11-11,2754287.090651
2024-11-12,2754297.820936
2024-11-13,2754297.820936
2024-11-14,2738917.456995
2024-11-15,2742089.792545
2024-11-16,2728076.457887
2024-11-17,2779960.106703
2024-11-18,2785869.0208610003
2024-11-19,2782299.5557660004
2024-11-20,2767012.311486
2024-11-21,2767016.4216190004
2024-11-22,2766229.2156020002
2024-11-23,2736284.1048760004
2024-11-24,2736288.6510090004
2024-11-25,2736172.8365860004
