datetime,Compound,Aave,Morpho,Sky
2024-05-05,0.0,107334.952555,0.0,0.0
2024-05-06,0.0,107334.952555,0.0,0.0
2024-05-07,0.0,107334.952555,0.0,0.0
2024-05-08,176007.687508,-38706.980392,0.0,0.0
2024-05-09,176007.687508,-38706.980392,0.0,0.0
2024-05-10,176007.687508,-38706.980392,0.0,0.0
2024-05-11,176007.687508,-38706.980392,0.0,0.0
2024-05-12,176007.687508,-38706.980392,0.0,0.0
2024-05-13,176007.687508,-38706.980392,0.0,0.0
2024-05-14,176007.687508,-90618.096137,0.0,101199.532467
2024-05-15,176007.687508,-103618.171336,0.0,101199.532467
2024-05-16,271541.54012,-103938.654441,0.0,208166.45898
2024-05-17,271541.54012,-309658.213782,0.0,157158.737062
2024-05-18,271541.54012,-309658.213782,0.0,157158.737062
2024-05-19,271541.54012,-309658.213782,0.0,157158.737062
2024-05-20,271541.54012,-309658.213782,0.0,157158.737062
2024-05-21,271541.54012,-125476.35981400002,0.0,157158.737062
2024-05-22,271541.54012,-125476.35981400002,0.0,157158.737062
2024-05-23,271541.54012,-125476.35981400002,0.0,157158.737062
2024-05-24,271541.54012,-99573.36456200003,0.0,157158.737062
2024-05-25,271541.54012,-99573.36456200003,0.0,157158.737062
2024-05-26,271541.54012,-141437.52708800003,0.0,209855.301188
2024-05-27,271541.54012,-141437.52708800003,0.0,209855.301188
2024-05-28,271541.54012,-222200.05589900003,0.0,290617.829999
2024-05-29,-599718.362245,703994.25628,0.0,165136.992269
2024-05-30,-599718.362245,702553.1715609999,0.0,165136.992269
2024-05-31,-599718.362245,702553.1715609999,0.0,165136.992269
2024-06-01,-599718.362245,681310.1189469999,0.0,165136.992269
2024-06-02,-599718.362245,681310.1189469999,0.0,165136.992269
2024-06-03,-599718.362245,681310.1189469999,0.0,165136.992269
2024-06-04,-599718.362245,681310.1189469999,0.0,165136.992269
2024-06-05,-599718.362245,681310.1189469999,0.0,165136.992269
2024-06-06,-506155.31526999996,681310.1189469999,0.0,165136.992269
2024-06-07,-380090.101179,681310.1189469999,0.0,223225.576123
2024-06-08,-839565.1111689999,1164522.3356309999,0.0,223225.576123
2024-06-09,-839565.1111689999,1164522.3356309999,0.0,223225.576123
2024-06-10,-226711.04321299994,352692.4811719998,0.0,422201.362626
2024-06-11,176772.35403100005,19646.21307599981,0.0,422201.362626
2024-06-12,-613170.124391,825864.1501599997,0.0,422201.362626
2024-06-13,-553595.841733,307724.6634869997,0.0,422201.362626
2024-06-14,36609.078085000045,307724.6485199997,0.0,422201.362626
2024-06-15,36609.078085000045,307724.6485199997,0.0,422201.362626
2024-06-16,36609.078085000045,307724.6485199997,0.0,422201.362626
2024-06-17,-709946.6730399999,1073181.7800099999,0.0,422201.362626
2024-06-18,-587035.5174609999,1070167.7875599999,0.0,422201.362626
2024-06-19,-587035.5174609999,1049116.808822,0.0,422201.362626
2024-06-20,-587035.5174609999,1132353.3696309999,0.0,422201.362626
2024-06-21,-587035.5174609999,1132353.3696309999,0.0,422201.362626
2024-06-22,-587035.5174609999,1116024.5660559998,0.0,490201.127399
2024-06-23,-587035.5174609999,1115619.3347619998,0.0,490201.127399
2024-06-24,-587035.5174609999,1068840.1582029997,0.0,402794.722603
2024-06-25,-587035.5174609999,973976.7296489998,0.0,402794.722603
2024-06-26,-587035.5174609999,960245.8818659998,0.0,402794.722603
2024-06-27,-587035.5174609999,1061999.3562909998,0.0,402794.722603
2024-06-28,-587035.5174609999,1061999.3562909998,0.0,500492.99963
2024-06-29,-587035.5174609999,1061999.3562909998,0.0,500492.99963
2024-06-30,-587035.5174609999,1061999.3562909998,0.0,500492.99963
2024-07-01,-587035.5174609999,1061999.3562909998,0.0,500492.99963
2024-07-02,-587035.5174609999,1102234.0876059998,0.0,416314.500357
2024-07-03,-749791.0040099999,967621.7928949998,0.0,416314.500357
2024-07-04,-749791.0040099999,966617.7639939998,0.0,416314.500357
2024-07-05,-749791.0040099999,915101.5683309998,0.0,416314.500357
2024-07-06,-749791.0040099999,900255.0794679999,0.0,416314.500357
2024-07-07,-749791.0040099999,913687.8705679999,0.0,346180.39032999997
2024-07-08,-749791.0040099999,913687.8705679999,0.0,346180.39032999997
2024-07-09,-749791.0040099999,913687.8705679999,0.0,346180.39032999997
2024-07-10,-145230.01892299985,309628.9637529999,0.0,346239.11442
2024-07-11,-145230.01892299985,309628.9637529999,0.0,346239.11442
2024-07-12,-145230.01892299985,309628.9637529999,0.0,346239.11442
2024-07-13,-145720.48247099985,309628.9637529999,10305.332601,346239.11442
2024-07-14,-145720.48247099985,309628.9637529999,10305.332601,346239.11442
2024-07-15,-145720.48247099985,309628.9637529999,10305.332601,346239.11442
2024-07-16,-780944.4697889999,964769.1749319999,13376.089131,436247.79851
2024-07-17,-780944.4697889999,954385.9999769998,13376.089131,486670.877927
2024-07-18,-780944.4697889999,951123.7560489998,13660.189131000001,486670.877927
2024-07-19,-780944.4697889999,951123.7560489998,13660.189131000001,486670.877927
2024-07-20,-780944.4697889999,909235.3460629998,13660.189131000001,486670.877927
2024-07-21,-1124305.6055309998,1204912.1292159997,13660.189131000001,581251.27376
2024-07-22,-1124305.6055309998,1204912.1292159997,13660.189131000001,662064.705309
2024-07-23,-1124305.6055309998,1110406.5461529996,13660.189131000001,662064.705309
2024-07-24,-1124305.6055309998,1110406.5461529996,13660.189131000001,662064.705309
2024-07-25,-1124305.6055309998,1110406.5461529996,13660.189131000001,662064.705309
2024-07-26,-642391.9793269999,417644.6991999997,13660.189131000001,892339.157259
