datetime,Net_Flow_to_Strategies_USDC
2024-05-05,107334.952555
2024-05-06,107334.952555
2024-05-07,107334.952555
2024-05-08,136827.089681
2024-05-09,136827.089681
2024-05-10,136827.089681
2024-05-11,136827.089681
2024-05-12,136827.089681
2024-05-13,136827.089681
2024-05-14,186115.506403
2024-05-15,173115.431204
2024-05-16,375055.35109999997
2024-05-17,118328.06984099999
2024-05-18,118328.06984099999
2024-05-19,118328.06984099999
2024-05-20,118328.06984099999
2024-05-21,302509.92380899994
2024-05-22,302509.92380899994
2024-05-23,302509.92380899994
2024-05-24,328412.91906099994
2024-05-25,328412.91906099994
2024-05-26,339245.3206609999
2024-05-27,339245.3206609999
2024-05-28,339245.3206609999
2024-05-29,268698.892745
2024-05-30,267257.80802600004
2024-05-31,267257.80802600004
2024-06-01,246014.75541200006
2024-06-02,246014.75541200006
2024-06-03,246014.75541200006
2024-06-04,246014.75541200006
2024-06-05,246014.75541200006
2024-06-06,339533.01330200006
2024-06-07,523686.81124700006
2024-06-08,547378.811247
2024-06-09,547378.811247
2024-06-10,547378.811247
2024-06-11,617778.361594
2024-06-12,634053.8202559999
2024-06-13,175488.6162409999
2024-06-14,765693.521092
2024-06-15,765693.521092
2024-06-16,765693.521092
2024-06-17,784594.901457
2024-06-18,904431.237745
2024-06-19,883380.259007
2024-06-20,966616.8198160001
2024-06-21,966616.8198160001
2024-06-22,1018287.7810140001
2024-06-23,1017882.54972
2024-06-24,883696.968365
2024-06-25,788833.539811
2024-06-26,775102.692028
2024-06-27,876856.166453
2024-06-28,974554.44348
2024-06-29,974554.44348
2024-06-30,974554.44348
2024-07-01,974554.44348
2024-07-02,930595.018122
2024-07-03,633050.196157
2024-07-04,632046.167256
2024-07-05,580527.711754
2024-07-06,565681.2228910001
2024-07-07,508979.9039640001
2024-07-08,508979.9039640001
2024-07-09,508979.9039640001
2024-07-10,509482.5303550001
2024-07-11,509482.5303550001
2024-07-12,509482.5303550001
2024-07-13,509480.9278510001
2024-07-14,509480.9278510001
2024-07-15,509480.9278510001
2024-07-16,619294.064036
2024-07-17,659333.318878
2024-07-18,656070.475402
2024-07-19,656070.475402
2024-07-20,614181.002122
2024-07-21,661007.7124119999
2024-07-22,741821.1439609999
2024-07-23,647315.5608979999
2024-07-24,647315.5608979999
2024-07-25,647315.5608979999
2024-07-26,666726.1492669999
2024-07-27,666726.1492669999
2024-07-28,-11739.371303000138
2024-07-29,-164684.23830900012
2024-07-30,1089564.3278619999
2024-07-31,1089258.9996779999
2024-08-01,1089258.9996779999
2024-08-02,1029378.7486479998
2024-08-03,1003220.2879859998
2024-08-04,1000689.8406299999
2024-08-05,927276.3957109998
2024-08-06,907204.2383199999
2024-08-07,1049312.8691739999
2024-08-08,948958.7992399998
2024-08-09,948958.7992399998
2024-08-10,948958.7992399998
2024-08-11,948958.7992399998
2024-08-12,948958.7992399998
2024-08-13,1002044.0523899999
2024-08-14,829162.3228229999
2024-08-15,829162.3228229999
2024-08-16,829122.749489
2024-08-17,826950.7036339999
2024-08-18,826950.7036339999
2024-08-19,822676.3166149999
2024-08-20,880422.1131169999
2024-08-21,983131.5989569998
2024-08-22,981618.6651629999
2024-08-23,981618.6651629999
2024-08-24,981618.6651629999
2024-08-25,1006113.6147479999
2024-08-26,1006113.6147479999
2024-08-27,1006113.6147479999
2024-08-28,1004784.5886969999
2024-08-29,1073123.373642
2024-08-30,942181.7416069999
2024-08-31,931948.2309979999
2024-09-01,942960.7936209999
2024-09-02,943015.593621
2024-09-03,901999.427806
2024-09-04,853128.890606
2024-09-05,853128.890606
2024-09-06,791463.8676669999
2024-09-07,782221.0458219999
2024-09-08,774078.3412859999
2024-09-09,774078.3412859999
2024-09-10,873957.9684579999
2024-09-11,871722.4535889999
2024-09-12,866813.171394
2024-09-13,1873737.5812589999
2024-09-14,1873737.567477
2024-09-15,1873737.567477
2024-09-16,1873737.567477
2024-09-17,1871830.247303
2024-09-18,1863938.894524
2024-09-19,1863938.894524
2024-09-20,1863938.894524
2024-09-21,1859362.87897
2024-09-22,1859362.87897
2024-09-23,1859362.87897
2024-09-24,1856900.671084
2024-09-25,1856900.671084
2024-09-26,1856900.671084
2024-09-27,197406.58563700016
2024-09-28,1925216.5573540002
2024-09-29,1925216.557354
2024-09-30,1925216.557354
2024-10-01,1876550.1152829998
2024-10-02,863716.0758539999
2024-10-03,2003340.2701569998
2024-10-04,2005054.094501
2024-10-05,2005054.094501
2024-10-06,2005054.094501
2024-10-07,1432611.504566
2024-10-08,2023123.0688470001
2024-10-09,1711949.173844
2024-10-10,2023123.0688470001
2024-10-11,2003867.3308120007
2024-10-12,2001405.2424130002
2024-10-13,2001405.2424130002
2024-10-14,2103940.5796460006
2024-10-15,2103940.5796460006
2024-10-16,2102611.430462001
2024-10-17,2102619.317181001
2024-10-18,2102619.317181001
2024-10-19,2102619.317181001
2024-10-20,2102615.869822001
2024-10-21,2098161.313202001
2024-10-22,1706918.3091950007
2024-10-23,2089926.6517270007
