from_address,to_address,from_label,to_label,weight
0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,0xfb7c06ddd70c74ac2f68d0f947be3b4c503e3d6c,Yearn Vault,DAI Strategy,1817967.0330860002
0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,0x7ee351aa702c8fc735d77fb229b7676ac15d7c79,Yearn Vault,Compound V3Lender,46375105.11329401
0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,0xbdb97ec319c41c6fa383e94ece6bdf383dfc7be4,Yearn Vault,AaveV3 Lender,14428432.064564003
0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,0x459f99d7c83bc3653b1913b62d2978b1deda01b5,Yearn Vault,Yearn ysUSDC,8354641.023767001
0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,0x25f893276544d86a82b1ce407182836f45cb6673,Yearn Vault,Spark Lender,1891447.89505
0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,0xf766c7293f4e0265ddfa8369f78a808df8ac70c1,Yearn Vault,Aave V3 Lender,27560273.769349992
0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,0x602da189f5ada033e9ac7096fc39c7f44a77e942,Yearn Vault,Yearn ysUSDC,32048088.851587005
0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,0x522478b54046ab7197880f2626b74a96d45b9b02,Yearn Vault,AaveV3 Lender,3363993.7431850005
0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,0x074134a2784f4f66b6ced6f68849382990ff3215,Yearn Vault,Morpho Compounder,18176867.538705003
0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,0x694e47afd14a64661a04eee674fb331bcdef3737,Yearn Vault,Morpho Compounder,17079756.848446
0xfb7c06ddd70c74ac2f68d0f947be3b4c503e3d6c,0x0a59649758aa4d66e25f08dd01271e891fe52199,DAI Strategy,SkyUSDC,1817967.0330860002
0x7ee351aa702c8fc735d77fb229b7676ac15d7c79,0xc3d688b66703497daa19211eedff47f25384cdc3,Compound V3Lender,Compound USDC Token,46376901.88109901
0xbdb97ec319c41c6fa383e94ece6bdf383dfc7be4,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,AaveV3 Lender,Aave,14428432.064564003
0x459f99d7c83bc3653b1913b62d2978b1deda01b5,0x37305b1cd40574e4c5ce33f8e8306be057fd7341,Yearn ysUSDC,Sky,8354641.023767001
0x25f893276544d86a82b1ce407182836f45cb6673,0x377c3bd93f2a2984e1e7be6a5c22c525ed4a4815,Spark Lender,Spark USDC,1891447.89505
0xf766c7293f4e0265ddfa8369f78a808df8ac70c1,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,Aave V3 Lender,Aave,27560273.769349992
0x602da189f5ada033e9ac7096fc39c7f44a77e942,0x37305b1cd40574e4c5ce33f8e8306be057fd7341,Yearn ysUSDC,Sky,32048088.851587005
0x522478b54046ab7197880f2626b74a96d45b9b02,0x2a1fbcb52ed4d9b23dad17e1e8aed4bb0e6079b8,AaveV3 Lender,Aave token instance,3363993.7431850005
0x074134a2784f4f66b6ced6f68849382990ff3215,0xbeef01735c132ada46aa9aa4c54623caa92a64cb,Morpho Compounder,Meta Morpho,18178622.357540004
0xbeef01735c132ada46aa9aa4c54623caa92a64cb,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,Meta Morpho,Morpho,18178622.357540004
0x694e47afd14a64661a04eee674fb331bcdef3737,0xdd0f28e19c1780eb6396170735d45153d261490d,Morpho Compounder,Meta Morpho,17083097.258109
0xdd0f28e19c1780eb6396170735d45153d261490d,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,Meta Morpho,Morpho,17083097.258109
